Id,emp_length,home_ownership,annual_inc,verification_status,pymnt_plan,purpose_cat,zip_code,addr_state,debt_to_income,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code
1,10,MORTGAGE,50000.0,not verified,n,medical,766xx,TX,10.87,0.0,0.0,,,15.0,0.0,12087,12.1,44.0,f,0.0,1,PC4
2,1,RENT,39216.0,not verified,n,debt consolidation,660xx,KS,9.15,0.0,2.0,,,4.0,0.0,10114,64.0,5.0,f,0.0,2,PC1
3,4,RENT,65000.0,not verified,n,credit card,916xx,CA,11.24,0.0,0.0,,,4.0,0.0,81,0.6,8.0,f,0.0,3,PC4
4,10,MORTGAGE,57500.0,not verified,n,debt consolidation,124xx,NY,6.18,1.0,0.0,16.0,,6.0,0.0,10030,37.1,23.0,f,0.0,2,PC2
5,10,MORTGAGE,50004.0,VERIFIED - income,n,debt consolidation,439xx,OH,19.03,0.0,4.0,,,8.0,0.0,10740,40.4,21.0,f,0.0,3,PC3
6,4,RENT,47028.0,VERIFIED - income,n,other,200xx,DC,7.83,2.0,1.0,19.0,,6.0,0.0,1715,26.4,25.0,f,0.0,3,PC3
7,10,MORTGAGE,126000.0,not verified,n,credit card,103xx,NY,14.28,0.0,0.0,,,18.0,0.0,5466,11.1,29.0,f,0.0,3,PC1
8,6,MORTGAGE,42000.0,VERIFIED - income source,n,debt consolidation,891xx,NV,10.29,0.0,0.0,,,9.0,0.0,10354,95.9,10.0,f,0.0,3,PC3
9,2,MORTGAGE,50000.0,VERIFIED - income,n,debt consolidation,612xx,IL,15.36,0.0,2.0,,,11.0,0.0,19662,59.2,27.0,f,0.0,1,PC5
10,1,RENT,40000.0,not verified,n,car,926xx,CA,6.48,0.0,1.0,,,11.0,0.0,19998,18.3,23.0,f,0.0,1,PC5
11,3,RENT,74000.0,VERIFIED - income source,n,credit card,921xx,CA,17.11,0.0,0.0,,,10.0,0.0,15046,39.9,18.0,f,0.0,1,PC4
12,5,RENT,112000.0,not verified,n,debt consolidation,200xx,DC,14.96,0.0,0.0,,,12.0,0.0,25274,39.5,24.0,f,0.0,1,PC3
13,1,RENT,148080.0,VERIFIED - income,n,debt consolidation,980xx,WA,15.88,0.0,2.0,,,12.0,0.0,36546,73.4,27.0,f,0.0,1,PC3
14,10,RENT,44724.0,not verified,n,wedding,198xx,DE,17.41,0.0,3.0,,,3.0,0.0,886,25.3,5.0,f,0.0,2,PC1
15,1,RENT,100000.0,not verified,n,other,920xx,CA,18.66,0.0,0.0,,,13.0,0.0,23484,70.1,37.0,f,0.0,3,PC3
